Date;Time;Microplastic_Concentration
16/08/2018;12:00:00;13070.3798828125
17/08/2018;12:00:00;13069.27734375
18/08/2018;12:00:00;13069.404296875
19/08/2018;12:00:00;13065.36328125
20/08/2018;12:00:00;13061.83203125
21/08/2018;12:00:00;13056.7998046875
22/08/2018;12:00:00;13053.4267578125
23/08/2018;12:00:00;13054.1396484375
24/08/2018;12:00:00;13054.90234375
25/08/2018;12:00:00;13052.9189453125
26/08/2018;12:00:00;13050.451171875
27/08/2018;12:00:00;13050.787109375
28/08/2018;12:00:00;13052.4443359375
29/08/2018;12:00:00;13052.9755859375
30/08/2018;12:00:00;13054.4677734375
31/08/2018;12:00:00;13058.4736328125
01/09/2018;12:00:00;13067.1044921875
02/09/2018;12:00:00;13074.193359375
03/09/2018;12:00:00;13074.728515625
04/09/2018;12:00:00;13082.041015625
05/09/2018;12:00:00;13086.6015625
06/09/2018;12:00:00;13091.748046875
07/09/2018;12:00:00;13096.0478515625
08/09/2018;12:00:00;13098.125
09/09/2018;12:00:00;13100.3896484375
10/09/2018;12:00:00;13102.189453125
11/09/2018;12:00:00;13098.92578125
12/09/2018;12:00:00;13093.1162109375
13/09/2018;12:00:00;13090.4716796875
14/09/2018;12:00:00;13085.12890625
15/09/2018;12:00:00;13082.1484375
16/09/2018;12:00:00;13079.8759765625
17/09/2018;12:00:00;13077.681640625
18/09/2018;12:00:00;13072.0498046875
19/09/2018;12:00:00;13070.0908203125
20/09/2018;12:00:00;13069.6943359375
21/09/2018;12:00:00;13070.0478515625
22/09/2018;12:00:00;13069.40234375
23/09/2018;12:00:00;13070.513671875
24/09/2018;12:00:00;13070.935546875
25/09/2018;12:00:00;13072.0078125
26/09/2018;12:00:00;13073.7900390625
27/09/2018;12:00:00;13070.6826171875
28/09/2018;12:00:00;13065.3955078125
29/09/2018;12:00:00;13058.7978515625
30/09/2018;12:00:00;13052.833984375
01/10/2018;12:00:00;13049.166015625
02/10/2018;12:00:00;13044.330078125
03/10/2018;12:00:00;13039.23046875
04/10/2018;12:00:00;13040.525390625
05/10/2018;12:00:00;13036.4853515625
06/10/2018;12:00:00;13034.0048828125
